Song,Performer,Year,Decade,Lyrics
eastside,"benny blanco, halsey ",2019,2010,"Uh
Yeah, yeah

When I was young, I fell in love
We used to hold hands, man, that was enough (Yeah)
Then we grew up, started to touch
Used to kiss underneath the light on the back of the bus (Yeah)
I know your daddy didn't like me much
And he didn't believe me when I said you were the one
Oh, every day, she found a way out of the window to sneak out late

She used to meet me on the Eastside
In the city where the sun don't set
And every day, you know that we'd ride
Through the backstreets in a blue Corvette
Baby, you know I just wanna leave tonight
We can go anywhere we want
Drive down to the coast, jump in the sea
Just take my hand and come with me, yeah

We can do anything if we put our minds to it
Take your old life, then you put a line through it
My love is yours if you're willing to take it
Give me your heart 'cause I ain't gonna break it
So come away, starting today
Start a new life together in a different place
We know that love is how all these ideas came to be
So baby, run away with me
Seventeen, and we got a dream to have a family
A house, and everything in between
And then, oh, suddenly, we turned twenty-three
And now we got pressure for taking our life more seriously
We got our dead-end jobs and got bills to pay
Our old friends are now our enemies
And now I, I'm thinking back to when I was young
Back to the day when I was falling in love

He used to meet me on the Eastside
In the city where the sun don't set
And every day, you know where we'd ride
Through the backstreets in a blue Corvette
And baby, you know I just wanna leave tonight
We can go anywhere we want
Drive down to the coast, jump in the sea
Just take my hand and come with me, singing

We can do anything if we put our minds to it
Take your old life, then you put a line through it
My love is yours if you're willing to take it
Give me your heart 'cause I ain't gonna break it
So come away, starting today
To start a new life together in a different place
We know that love is how all these ideas came to be
So baby, run away with me
Run away now, run away now
Run away now
Run away now, run away now
Run away now

He used to meet me on the Eastside
She used to meet me on the Eastside
He used to meet me on the Eastside
She used to meet me on the Eastside
In the city where the sun don't set"
wait for you,elliott yamin,2007,2000,"I never felt nothing in the world like this before
Now I'm missing you, and I'm wishing you would come back through my door
Oh, why did you have to go? You could have let me know
So now, I'm all alone
Girl, you could have stayed, but you wouldn't give me a chance
With you not around, it's a little bit more than I can stand
Oh, and all my tears, they keep runnin' down my face
Why did you turn away?

So why does your pride make you run and hide?
Are you that afraid of me?
But I know it's a lie, what you keep inside
This is not how you want it to be

So, baby, I will wait for you
'Cause I don't know what else I can do
Don't tell me I ran out of time
If it takes the rest of my life
Baby, I will wait for you
If you think I'm fine, it just ain't true
I really need you in my life
No matter what I have to do, I'll wait for you
Been a long time since you called me
(How could you forget about me?)
You gotta be feeling crazy
How can you walk away? Everything stays the same
I just can't do it, baby
What will it take to make you come back?
Girl, I told you what it is, and it just ain't like that
Why can't you look at me? You're still in love with me
Don't leave me crying

Baby, why can't we just, just start over again
Get it back to the way it was?
If you give me a chance, I can love you right
But you're telling me it won't be enough

So, baby, I will wait for you
'Cause I don't know what else I can do
Don't tell me I ran out of time
If it takes the rest of my life
Baby, I will wait for you
If you think I'm fine, it just ain't true
I really need you in my life
No matter what I have to do, I'll wait for you
So why does your pride make you run and hide?
Are you that afraid of me?
But I know it's a lie, what you're keeping inside
This is not how you want it to be

Baby, I will wait for you
Baby, I will wait for you, if it's the last thing I do

Baby, I will wait for you
'Cause I don't know what else I can do
Don't tell me I ran out of time
If it takes the rest of my life
Baby, I will wait for you
If you think I'm fine, it just ain't true
I really need you in my life
No matter what I have to do, I'll wait for you
I'll be waiting"
wildflower,skylark,1973,1970,"She's faced the hardest times you could imagine
And many times her eyes fought back the tears
And when her youthful world was about to fall in
Each time her slender shoulders bore the weight of all her fears
And a sorrow no one hears still rings in midnight silence in her ears
Let her cry for she's a lady
Let her dream for she's a child
Let the rain fall down upon her
She's a free and gentle flower growing wild
And if by chance I should hold her
Let me hold her for a time
But if allowed just one possession
I would pick her from the garden to be mine
Be careful how you touch her, for she'll awaken
And sleep's the only freedom that she knows
And when you walk into her eyes, you won't believe
The way she's always paying for a debt she never owes
And a silent wind still blows that only she can hear
And so she goes
Let her cry for she's a lady
Let her dream for she's a child
Let the rain fall down upon her
She's a free and gentle flower growing wild
Let her cry for she's lady
Let her dream for she's a child
Let the rain fall down upon her
She's a free and gentle flower growing wild
She's a flower growing wild
She's free"
even though i'm leaving,luke combs,2019,2010,"Daddy, I'm afraid, won't you stay a little while?
Keep me safe 'cause there's monsters right outside
Daddy, please don't go, I don't wanna be alone
'Cause the second that you're gone they're gonna know
Before he went to bed he grabbed my hand and said

Just 'cause I'm leavin'
It don't mean that I won't be right by your side
When you need me
And you can't see me in the middle of the night
Just close your eyes and say a prayer
It's okay, I know you're scared when I'm not here
But I'll always be right there
Even though I'm leavin', I ain't goin' nowhere

Dad, we'll be late, and Uncle Sam don't like to wait
He's got a big old plane that's gonna take me far away
I know I act tough, but there's a churnin' in my gut
'Cause I just can't call you up when things get rough
Before I left, he hugged my neck and said

Just 'cause you're leavin'
It don't mean that I won't be right by your side
When you need me
And you can't see me in the middle of the night
Just close your eyes and say a prayer
It's okay, I know you're scared I might be here
But I'll always be right there
Even though you're leavin', I ain't goin' nowhere
Daddy, I'm afraid, won't you stay a little while?
I never thought I'd see the day I had to say goodbye
Daddy, please don't go, I can't do this on my own
There's no way that I can walk this road alone
Daddy grabbed my hand and said

Just 'cause I'm leavin'
It don't mean that I won't be right by your side
When you need me
And you can't see me in the middle of the night
Just close your eyes and say a prayer
It's okay, boy, I ain't scared
I won't be here, but I'll always be right there
Even though I'm leavin', I ain't goin' nowhere
I ain't goin' nowhere"
do re mi,blackbear,2017,2010,"Do, re, mi, fa, so
Yeah, yeah, yeah, oh
Do, re, mi, fa, so
Yeah, yeah, yeah

Yeah, if I could go back to that day we met
I probably would just stay in bed
You run your mouth all over town
And this one goes out to the sound
Of breaking glass on my Range Rover
Pay me back or bitch, it's over
All the presents I would send
Fuck my friends behind my shoulder
Next time I'ma stay asleep
I pray the Lord my soul to keep, oh

And you got me thinking lately
Bitch, you crazy
And nothing's ever good enough
I wrote a little song for ya
It go like

Do, re, mi, fa, so fuckin' done with you, girl
So fuckin' done with all the games you play
I ain't no Tic-tac-toe
Send the X and O's on another note
I'm do, re, mi, fa, so fuckin' done with you, girl
So send the X and O's on another note, I'm ghost
(Ghost, ghost, ghost)
(Yeah, yeah, yeah, oh)
If I could go back to the day we met
I probably would've stayed in bed
You wake up every day
And make me feel like I'm incompetent
Designer shoes and Xanax tabs
Compliments your make-up bag
You never had to buy yourself a drink
'Cause everybody want to tap that ass sometime

And you got me thinking lately
Bitch, you crazy
And nothing's ever good enough
I wrote a little song for ya
It go like

Do, re, mi, fa, so fuckin' done with you, girl
So fuckin' done with all the games you play
I ain't no Tic-tac-toe
Send the X and O's on another note
I'm do, re, mi, fa, so fuckin' done with you, girl
So send the X and O's on another note, I'm ghost
(Ghost, ghost, ghost)
(Yeah, yeah, yeah, oh)
(And you got me thinking lately, yeah)
(Bitch, you crazy)
(And nothing's ever good enough)
I wrote a little song for you, it go like

Do, re, mi, fa, so fuckin' done with you, girl
So fuckin' done with all the games you play
I ain't no Tic-tac-toe
Send the X and O's on another note
I'm do, re, mi, fa, so fuckin' done with you, girl
So send the X and O's on another note, I'm ghost
(Ghost, ghost, ghost)
(Yeah, yeah, yeah)

(So send the X and O's on another note, I'm ghost)
Do, re, mi, fa, so
(Yeah, yeah, yeah)
So send the X and O's on another note, I'm ghost
(Ghost, ghost, ghost)"
you make it easy,jason aldean,2018,2010,"Like a rainy Sunday mornin'
Makes me wanna stay in bed twisted up all day long
You're my inspiration, girl
You take me places, put the words right into these songs

Stealin' kisses under cover, babe
See forever when I see your face
And I swear God made you for me

You make it easy lovin' up on you
Make it easy with every little thing you do
You're my sunshine in the darkest days
My better half, my savin' grace
You make me who I wanna be
You make it easy

You took all my rough around the edges
Never let it ruffle up your feathers, angel
Yeah, I'm down for life, you got me wrapped around your finger
And I like it just in case you can't tell

You make it easy lovin' up on you
Make it easy with every little thing you do
You're my sunshine in the darkest days
My better half, my savin' grace
You make me who I wanna be
You make it easy
Stealin' kisses under cover, babe
See forever when I see your face
And I swear God made you for me

You make it easy lovin' up on you
Make it easy with every little thing you do
You're my sunshine in the darkest days
My better half, my savin' grace
You make me who I wanna be
You make it easy
You make it easy"
smack that,akon ,2006,2000,"Shady, Konvict, Upfront
Akon, Slim Shady
I see the one, could she be that lady? Ayy

I feel you creepin', I can see you from my shadow
Wanna jump up in my Lamborghini Gallardo?
Maybe go to my place and just kick it like Tae Bo?
And possibly bend you over?
Look back and watch me smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh

Upfront style, ready to attack now
Pull in the parking lot slow with the 'Lac down
Konvict's got the whole thing packed now
Step in the club, the wardrobe intact now
I feel it, dawnin' cracked now
Ooh, I see it dull and backed now
I'ma call her, then I put the mack down
Money no problem, pocket full of that now
I feel you creepin', I can see you from my shadow
Wanna jump up in my Lamborghini Gallardo?
Maybe go to my place and just kick it like Tae Bo?
And possibly bend you over?
Look back and watch me smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh

Oh, looks like another club banger
They better hang on when they throw this thang on
Get a little drink on, they gon' flip
For this Akon shit, you can bank on it
Pedicure, manicure, kitty-cat claws
The way she climbs up and down them poles
Lookin' like one of them Putty-Cat Dolls
Tryin' to hold my woodie back through my drawers
Steps upstage, didn't think I saw her
Creeps up behind me, and she's like ""You're —""
I'm like, ""I know, let's cut to the chase""
No time to waste, back to my place
Plus from the club to the crib, it's like a mile away
Or more like a palace, shall I say
And plus, I got a pal if your gal is game
In fact, he's the one singin' the song that's playin' (Akon!)
I feel you creepin', I can see you from my shadow
Wanna jump up in my Lamborghini Gallardo?
Maybe go to my place and just kick it like Tae Bo?
And possibly bend you over?
Look back and watch me smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh

Eminem's rollin', D and 'em rollin'
Bu and all marvelous, them rollin'
Women just ho-in', big booty rollin'
Soon, I'll be all in them and throwin' D (D)
Hittin' no less than three (Three)
Block wheel style like whee (Whee)
Girl, I can tell you want me, because lately

I feel you creepin', I can see you from my shadow
Wanna jump up in my Lamborghini Gallardo?
Maybe go to my place and just kick it like Tae Bo?
And possibly bend you over?
Look back and watch me smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh-oh-oh-oh-oh"
alley-oop,hollywood argyles,1960,1960,"(Oop-oop, oop, oop-oop)
(Alley-Oop, oop, oop, oop-oop)

There's a man in the funny papers we all know
(Alley-Oop, oop, oop, oop-oop)
He lives 'way back a long time ago
(Alley-Oop, oop, oop, oop-oop)
He don't eat nothin' but a bear cat stew
(Alley-Oop, oop, oop, oop-oop)
Well, this cat's name is-a Alley-Oop
(Alley-Oop, oop, oop, oop-oop)
He got a chauffeur that's a genuine dinosaur
(Alley-Oop, oop, oop, oop-oop)
And he can knuckle your head before you count to four
(Alley-Oop, oop, oop, oop-oop)
He got a big ugly club and a head full of hay-uh
(Alley-Oop, oop, oop, oop-oop)
Like great big lions and grizzly bears
(Alley-Oop, oop, oop, oop-oop)
(Alley-Oop) He's the toughest man there is alive
(Alley-Oop) Wearin' clothes from a wildcat's hide
(Alley-Oop) He's the king of the jungle jive
(Look at that cave man go!!) (SCREAM)
He rides thru the jungle tearin' limbs offa trees
(Alley-Oop, oop, oop, oop-oop)
Knockin' great big monstas dead on their knees
(Alley-Oop, oop, oop, oop-oop)
The cats don't bug him cuz they know bettah
(Alley-Oop, oop, oop, oop-oop)
Cuz he's a mean motah scootah and a bad go-gettah
(Alley-Oop, oop, oop, oop-oop)
(Alley-Oop) He's the toughest man there is alive
(Alley-Oop) Wears clothes from a wildcat's hide
(Alley-Oop) He's the king of the jungle jive
(Look at that cave man go!!) (SCREAM)
There he goes
(Alley-Oop, oop, oop, oop-oop)
Look at that cave man go
(Alley-Oop, oop, oop, oop-oop)
He sure is hip ain't he
(Alley-Oop, oop, oop, oop-oop)
Like what's happening
(Alley-Oop, oop, oop, oop-oop)
He's too much
(Alley-Oop, oop, oop, oop-oop)
Ride, Daddy, ride
(Alley-Oop, oop, oop, oop-oop)
Hi-yo dinosawruh
(Alley-Oop, oop, oop, oop-oop)
Ride, Daddy, ride
(Alley-Oop, oop, oop, oop-oop)
Get 'em, man
(Alley-Oop, oop, oop, oop-oop)
Like--hipsville
(Alley-Oop, oop, oop, oop-oop)"
quiet village,martin denny,1959,1950,"Alone in my quiet village I pray
You will be returning one day
To me
Return to me
Alone living with the mem'ry of you
Promising you'd always be true
To me
Be true to me
Above me there's a moon on fire
Telling you to love me as I desire
And ever the flame in my quiet village will burn
Darling till the day you return to me
Return to me, return to me"
the ballad of the green berets,ssgt barry sadler,1966,1960,"Fighting soldiers from the sky Fearless men who jump and die Men who mean just what they say The brave men of the Green Beret Silver wings upon their chest These are men, America s best One hundred men will test today But only three win the Green Beret Trained to live off nature s land Trained in combat, hand-to-hand Men who fight by night and day Courage take from the Green Berets Silver wings upon their chest These are men, America s best One hundred men will test today But only three win the Green Beret Back at home, a young wife waits Her Green Beret has met his fate He has died for those oppressed Leaving her his last request Put silver wings on my son s chest Make him one of America s best He ll be a man they ll test one day Have him win the Green Beret "
run this town,"jay-z, rihanna ",2009,2000,"Feel it comin' in the air
Hear the screams from everywhere
I’m addicted to the thrill
It's a dangerous love affair
Can’t be scared when it goes down
Got a problem, tell me now
Only thing that's on my mind
Is who's gon' run this town tonight
Is who's gon' run this town tonight
We gon' run this town!

We are, yeah, I said it: we are
This is Roc Nation, pledge your allegiance
Get your fatigues on, all black everything
Black cards, black cars, all black everything
And our girls are blackbirds ridin' with they Dillingers
I get more in depth if you boys really real enough
This is la Familia, I'll explain later
But for now, let me get back to this paper
I'm a couple bands down and I'm tryin' to get back
I gave Doug a grip and lost a flip for five stacks
Yeah, I'm talkin' 5 comma, 6 zeros, dot zero, here Doug
Back to runnin' circles round niggas, now we squared up
Hold up!
Life’s a game, but it's not fair
I break the rules, so I don’t care
So I keep doin' my own thang
Walkin' tall against the rain
Victory’s within the mile
Almost there, don’t give up now
Only thing that's on my mind
Is who’s gon' run this town tonight
Heyyy, heyy, heyyy, heyy
Who’s gon' run this town tonight?

We are, yeah, I said it: we are
You can call me Caesar, in a dark Caesar
Please follow the leader, so Eric B we are
Microphone fiend, this the return of the God
Peace, God, ah ah, it ain't no nobody fresher
I'm in Maison, ah, Martin Margiela
On the table, screamin'
""Fuck the other side! They're jealous!""
We got a banquette full of broads
They got a table full of fellas
Yeah, and they ain't spendin' no cake
They should throw their hand in
‘Cause they ain't got no spades
Yeah, my whole team got dough
So my banquette is lookin' like millionaires' row
Life’s a game, but it's not fair
I break the rules, so I don’t care
So I keep doin' my own thang
Walkin' tall against the rain
Victory’s within the mile
Almost there, don’t give up now
Only thing that's on my mind
Is who’s gon' run this town tonight
Heyyy, heyy, heyyy, heyy
Who’s gon' run this town tonight?

It's crazy how you can go from bein' Joe Blow
To everybody on your dick; no homo
I bought my whole family whips; no Volvos
Next time I’m in church: please, no photos
Police escorts, everybody passports
This the life that everybody ask for
This the fast life, we are on a crash course
What you think I rap for, to push a fuckin' Rav 4?
But I know that if I stay stunting
All these girls only gon' want one thing
I can spend my whole life goodwill hunting
Only good gon' come is this good when I'm cumming
She got a ass that'll swallow up a G-string
And up top, ungh, two bee stings
And I'm beasting off the Riesling
And my nigga just made it out the precinct
We give a damn about the drama that your dude bring
I'm just tryin' to change the color on your mood ring
Reebok, baby, you need to try some new things
Have you ever had shoes without shoe strings?
""What's that, Ye?"" ""Baby, these heels.""
""Is that a May— what?!"" ""Baby, these wheels.""
You trippin' when you ain't sippin', have a refill
You feelin' like you runnin', huh? Now you know how we feel
Whassup!
Heyyy, heyy, heyyy, heyy
Yeah, yeah, whassup!
Heyyy, heyy, heyyy, heyy
We gon' run this town tonight"
poor side of town,johnny rivers,1966,1960,"Do-doo-doo-wah shoo-be-doo-be
Do-doo-doo-wah shoo-be-doo-be
How can you tell me
How much you miss me
When the last time I saw you
You wouldn't even kiss me
That rich guy you've been seein'
Must have put you down
So welcome back baby
To the poor side of town
To him you were nothin'
But a little plaything (was a plaything, doo wah)
Not much more than
An overnight fling (overnight fling, doo wah)
To me you were the greatest thing
This boy had ever found
And girl it's hard to find nice things
On the poor side of town
I can't blame you for tryin'
I'm tryin' to make it too
I've got one little hang up, baby
I just can't make it without you (without you, without you)
So tell me
Are you gonna stay now (will you stay now, doo wah)
Will you stand by me girl
All the way now (all the way now, doo wah)
With you by my side
They can't keep us down
Together we can make it baby
From the poor side of town
(So tell me how much you love me)
(Come be near to me and say you need me now)
Oh, with you by my side
This world can't keep us down
Together we can make it baby
From the poor side of town
Do-doo-doo-wah shoo-be-doo-be
Do-doo-doo-wah shoo-be-doo-be
Do-doo-doo-wah shoo-be-doo-be"
blue moon,the marcels,1961,1960,"Blue Moon Moon Moon Moon
Blue Moon Moon Moon Moon
Blue Moon Moon Moon Moon
Blue Moon
You saw me standing alone
Without a dream in my heart
Without a love of my own
Blue Moon
You knew just what I was there for
You heard me saying a prayer for
Someone I really could care for
And then there suddenly appeared before me
The only one my arms will ever hold
I heard somebody whisper, ""Please adore me.""
And when I looked, the moon had turned to gold, oh
Blue Moon
Now I'm no longer alone
Without a dream in my heart
Without a love of my own"
burning bridges,jack scott,1960,1960,"Found some letters you wrote me this morning
They told of the love we once knew
Now they're gone I burned them to ashes
Don't want nothing to remind me of you
Burning bridges behind me
It's too late to turn back now
Burning bridges behind me
All I want is to forget you somehow
Sold the house we once planned together
Said goodbye to the folks we once knew
Then I moved to a far away city
Tried so hard to forget about you
Burning bridges behind me
It's too late to turn back now
Burning bridges behind me
All I want is to forget you somehow"
take a bow,rihanna,2008,2000,"Oh, how about a round of applause?
Yeah, a standing ovation
Ooh, whoa, yeah
Yeah, yeah, yeah, yeah

You look so dumb right now
Standing outside my house
Trying to apologize
You're so ugly when you cry
Please, just cut it out

And don't tell me you're sorry 'cause you're not
Baby, when I know you're only sorry you got caught

But you put on quite a show (Ooh, oh)
Really had me going
But now it's time to go (Ooh, oh)
Curtain's finally closing
That was quite a show (Ooh, oh)
Very entertaining
But it's over now (But it's over now)
Go on and take a bow
(Oh-oh)
Grab your clothes and get gone (Get gone)
You better hurry up
Before the sprinklers come on (Come on)
Talking' bout' ""Girl, I love you, you're the one""
This just looks like the re-run
Please, what else is on? (Ooh, oh)

And don't tell me you're sorry 'cause you're not (Mmm)
Baby, when I know you're only sorry you got caught

But you put on quite a show (Ooh, oh)
Really had me going
But now it's time to go (Ooh, oh)
Curtain's finally closing
That was quite a show (Ooh, oh)
Very entertaining
But it's over now (But it's over now)
Go on and take a bow

Oh, and the award for the best liar goes to you (Goes to you)
For making me believe
That you could be faithful to me
Let's hear your speech, oh
How 'bout a round of applause?
A standing ovation
But you put on quite a show (Ooh, oh)
Really had me going
Now it's time to go (Ooh, oh)
Curtain's finally closing
That was quite a show (Ooh, oh)
Very entertaining
But it's over now (But it's over now)
Go on and take a bow
But it's over now"
suspicion,terry stafford,1964,1960,"Every time you kiss me
I'm still not certain that you love me
Every time you hold me
I'm still not certain that you care
Though you keep on saying
You really, really, really love me
Do you say the same words
To someone else when I'm not there

(Suspicion)
Torments my heart
(Suspicion)
Keeps us apart
(Suspicion)
Why torture me?

Every time you call me
And tell me we should meet tomorrow
I can't help but think that
You're meeting someone else tonight
Why should our romance just
Keep on causing me such sorrow?
Why am I so doubtful
Whenever you are out of sight?
(Suspicion)
Torments my heart
(Suspicion)
Keeps us apart
(Suspicion)
Why torture me?

Darling, if you love me
I beg you wait a little longer
Wait until I drive all
These foolish fears out of my mind
Why can't our romance just
Keep on growing stronger
Maybe I'm suspicious
'Cause true love is so hard to find

(Suspicion)
Torments my heart
(Suspicion)
Keeps us apart
(Suspicion)
Why torture me?"
